1 , 79 , 123310 , 1
2 , 21 , 23122 , 3
3 , 79 , 74680 , 1
4 , 96 , 10760 , 3
5 , 9 , 50098 , 1
6 , 24 , 58268 , 3
7 , 85 , 71951 , 1
8 , 54 , 124369 , 3
9 , 13 , 73924 , 3
10 , 60 , 77773 , 3
11 , 93 , 123689 , 4
12 , 68 , 134576 , 4
13 , 14 , 14659 , 1
14 , 72 , 130351 , 4
15 , 46 , 130671 , 3
16 , 71 , 122101 , 4
17 , 21 , 126127 , 3
18 , 58 , 29357 , 1
19 , 45 , 2642 , 4
20 , 27 , 122411 , 4
21 , 82 , 105097 , 3
22 , 42 , 22202 , 1
23 , 12 , 32014 , 1
24 , 67 , 88178 , 2
25 , 85 , 83353 , 2
26 , 94 , 6526 , 4
27 , 55 , 54676 , 3
28 , 87 , 35686 , 1
29 , 94 , 46293 , 1
30 , 75 , 94020 , 2
31 , 47 , 9933 , 2
32 , 26 , 114732 , 3
33 , 38 , 52448 , 2
34 , 83 , 149651 , 2
35 , 54 , 89802 , 3
36 , 22 , 57998 , 3
37 , 99 , 67279 , 4
38 , 10 , 55435 , 3
39 , 6 , 82811 , 2
40 , 10 , 117010 , 3
41 , 51 , 17261 , 1
42 , 36 , 97281 , 4
43 , 90 , 33126 , 2
44 , 26 , 140801 , 4
45 , 30 , 118226 , 2
46 , 43 , 30300 , 3
47 , 11 , 28342 , 1
48 , 77 , 50666 , 4
49 , 84 , 32219 , 1
50 , 19 , 34836 , 2
51 , 81 , 43415 , 1
52 , 71 , 2800 , 3
53 , 61 , 81946 , 2
54 , 8 , 148619 , 3
55 , 32 , 78230 , 3
56 , 73 , 12043 , 1
57 , 56 , 31560 , 2
58 , 65 , 13488 , 4
59 , 31 , 9304 , 1
60 , 27 , 62446 , 3
61 , 29 , 142806 , 1
62 , 86 , 139530 , 1
63 , 39 , 76344 , 2
64 , 47 , 146551 , 4
65 , 63 , 4466 , 4
66 , 11 , 32924 , 2
67 , 71 , 102771 , 1
68 , 14 , 126066 , 4
69 , 48 , 120961 , 4
70 , 12 , 120681 , 2
71 , 76 , 102372 , 3
72 , 41 , 88928 , 2
73 , 57 , 119661 , 4
74 , 9 , 33879 , 3
75 , 79 , 109356 , 2
76 , 55 , 7456 , 1
77 , 68 , 21144 , 2
78 , 33 , 135228 , 1
79 , 1 , 44470 , 4
80 , 3 , 95709 , 3
81 , 61 , 64488 , 1
82 , 34 , 49257 , 4
83 , 38 , 58237 , 1
84 , 97 , 56065 , 4
85 , 98 , 72366 , 1
86 , 93 , 4736 , 3
87 , 94 , 34617 , 1
88 , 81 , 128125 , 3
89 , 12 , 88133 , 4
90 , 97 , 47361 , 2
91 , 85 , 57758 , 4
92 , 43 , 128357 , 3
93 , 99 , 17901 , 4
94 , 53 , 110835 , 1
95 , 7 , 80942 , 1
96 , 72 , 39904 , 4
97 , 80 , 10302 , 4
98 , 47 , 38382 , 3
99 , 32 , 108360 , 4
100 , 36 , 81386 , 1
101 , 93 , 7906 , 2
102 , 61 , 71210 , 3
103 , 4 , 53080 , 2
104 , 47 , 80406 , 3
105 , 29 , 94322 , 3
106 , 42 , 126902 , 2
107 , 47 , 6133 , 4
108 , 0 , 87666 , 2
109 , 65 , 141466 , 2
110 , 94 , 149142 , 3
111 , 93 , 55772 , 3
112 , 78 , 87408 , 4
113 , 97 , 20173 , 2
114 , 18 , 123789 , 1
115 , 56 , 149274 , 1
116 , 50 , 54821 , 1
117 , 50 , 126805 , 3
118 , 46 , 93469 , 2
119 , 15 , 22169 , 2
120 , 39 , 80991 , 2
121 , 15 , 51890 , 4
122 , 14 , 49616 , 4
123 , 96 , 54741 , 4
124 , 31 , 28040 , 3
125 , 8 , 18135 , 2
126 , 0 , 46146 , 2
127 , 85 , 6186 , 2
128 , 37 , 32308 , 1
129 , 91 , 78552 , 3
130 , 48 , 54935 , 3
131 , 70 , 68503 , 2
132 , 69 , 113857 , 3
133 , 40 , 73607 , 4
134 , 75 , 146879 , 4
135 , 83 , 14458 , 4
136 , 64 , 63729 , 2
137 , 75 , 116379 , 1
138 , 83 , 46428 , 1
139 , 19 , 57282 , 3
140 , 30 , 3975 , 2
141 , 30 , 95058 , 3
142 , 10 , 32951 , 4
143 , 23 , 56931 , 2
144 , 9 , 6523 , 2
145 , 30 , 14129 , 2
146 , 26 , 25734 , 4
147 , 12 , 23521 , 1
148 , 3 , 96438 , 3
149 , 19 , 45362 , 4
150 , 96 , 42169 , 2
151 , 72 , 107344 , 2
152 , 11 , 133241 , 2
153 , 66 , 103192 , 4
154 , 97 , 125526 , 1
155 , 85 , 78217 , 2
156 , 49 , 83012 , 3
157 , 71 , 95709 , 4
158 , 39 , 29353 , 2
159 , 0 , 46477 , 4
160 , 87 , 67165 , 3
161 , 81 , 33824 , 4
162 , 40 , 34620 , 1
163 , 68 , 702 , 4
164 , 99 , 58379 , 3
165 , 64 , 57086 , 3
166 , 14 , 25028 , 1
167 , 7 , 15594 , 2
168 , 40 , 95742 , 4
169 , 44 , 131040 , 1
170 , 56 , 132187 , 2
171 , 31 , 141333 , 2
172 , 15 , 107082 , 1
173 , 50 , 131422 , 1
174 , 94 , 43919 , 2
175 , 85 , 106181 , 1
176 , 50 , 108157 , 2
177 , 83 , 105211 , 2
178 , 96 , 24208 , 1
179 , 24 , 126632 , 2
180 , 39 , 55333 , 3
181 , 43 , 124520 , 2
182 , 37 , 87955 , 4
183 , 98 , 98057 , 1
184 , 49 , 114853 , 3
185 , 28 , 1019 , 3
186 , 74 , 110534 , 3
187 , 10 , 146488 , 4
188 , 82 , 39573 , 3
189 , 78 , 149302 , 4
190 , 33 , 28899 , 2
191 , 49 , 12365 , 2
192 , 16 , 133607 , 3
193 , 32 , 122044 , 2
194 , 62 , 57993 , 3
195 , 16 , 5765 , 3
196 , 92 , 111240 , 1
197 , 68 , 83867 , 1
198 , 71 , 99039 , 2
199 , 86 , 38194 , 4
200 , 20 , 116081 , 4
201 , 71 , 80406 , 4
202 , 58 , 11964 , 1
203 , 98 , 98285 , 2
204 , 85 , 139443 , 4
205 , 52 , 61941 , 1
206 , 32 , 106484 , 4
207 , 72 , 62634 , 4
208 , 14 , 144467 , 2
209 , 13 , 9961 , 2
210 , 72 , 109170 , 3
211 , 38 , 120278 , 4
212 , 89 , 43862 , 2
213 , 18 , 87569 , 3
214 , 72 , 84425 , 3
215 , 16 , 126573 , 3
216 , 14 , 31429 , 4
217 , 41 , 53501 , 2
218 , 5 , 33420 , 1
219 , 86 , 141785 , 4
220 , 2 , 15023 , 4
221 , 42 , 92890 , 1
222 , 62 , 39103 , 4
223 , 80 , 44387 , 1
224 , 84 , 109831 , 3
225 , 93 , 92858 , 4
226 , 40 , 78281 , 2
227 , 76 , 35488 , 4
228 , 94 , 71373 , 1
229 , 95 , 109059 , 1
230 , 25 , 134019 , 4
231 , 69 , 32283 , 1
232 , 41 , 70784 , 4
233 , 96 , 16011 , 2
234 , 33 , 64502 , 4
235 , 30 , 32947 , 1
236 , 19 , 24751 , 4
237 , 42 , 93646 , 2
238 , 50 , 130163 , 1
239 , 13 , 113618 , 1
240 , 55 , 38045 , 3
241 , 50 , 53110 , 2
242 , 23 , 28398 , 1
243 , 2 , 54980 , 1
244 , 66 , 68766 , 1
245 , 87 , 79107 , 4
246 , 13 , 125423 , 1
247 , 25 , 103712 , 2
248 , 96 , 5514 , 2
249 , 6 , 113504 , 4
250 , 63 , 11333 , 2
251 , 65 , 42421 , 1
252 , 42 , 31130 , 2
253 , 70 , 122486 , 4
254 , 66 , 12730 , 1
255 , 22 , 30616 , 4
256 , 0 , 139517 , 4
257 , 14 , 101964 , 4
258 , 97 , 55503 , 3
259 , 59 , 149720 , 3
260 , 76 , 99837 , 4
261 , 59 , 60009 , 1
262 , 30 , 7186 , 1
263 , 2 , 28654 , 1
264 , 57 , 116209 , 3
265 , 40 , 75946 , 3
266 , 14 , 70443 , 4
267 , 92 , 149567 , 4
268 , 96 , 15802 , 2
269 , 74 , 88330 , 2
270 , 19 , 110190 , 1
271 , 13 , 76254 , 3
272 , 14 , 108861 , 3
273 , 0 , 35771 , 1
274 , 96 , 81021 , 2
275 , 71 , 57001 , 2
276 , 53 , 28468 , 3
277 , 36 , 73545 , 3
278 , 52 , 95906 , 3
279 , 52 , 106870 , 4
280 , 48 , 145081 , 3
281 , 52 , 15909 , 2
282 , 24 , 59653 , 1
283 , 86 , 55768 , 4
284 , 6 , 145522 , 3
285 , 8 , 45985 , 1
286 , 83 , 116605 , 3
287 , 29 , 61629 , 2
288 , 9 , 144109 , 1
289 , 82 , 29059 , 2
290 , 26 , 97519 , 2
291 , 30 , 30982 , 2
292 , 17 , 98961 , 2
293 , 12 , 22956 , 4
294 , 91 , 111370 , 4
295 , 98 , 99808 , 2
296 , 57 , 8318 , 2
297 , 6 , 142996 , 2
298 , 75 , 83387 , 4
299 , 56 , 107444 , 4
300 , 44 , 12197 , 4
301 , 4 , 96469 , 2
302 , 89 , 3449 , 4
303 , 77 , 58746 , 4
304 , 55 , 52669 , 1
305 , 58 , 64923 , 4
306 , 69 , 57093 , 3
307 , 18 , 46663 , 3
308 , 36 , 89873 , 4
309 , 59 , 37668 , 3
310 , 59 , 64603 , 4
311 , 26 , 16264 , 2
312 , 71 , 60481 , 1
313 , 71 , 68597 , 4
314 , 1 , 105433 , 3
315 , 33 , 94471 , 2
316 , 97 , 74647 , 4
317 , 51 , 131274 , 1
318 , 74 , 27981 , 3
319 , 27 , 78519 , 2
320 , 80 , 64257 , 2
321 , 68 , 93222 , 2
322 , 22 , 140915 , 4
323 , 73 , 16206 , 3
324 , 52 , 96411 , 3
325 , 39 , 107594 , 1
326 , 33 , 60110 , 2
327 , 39 , 73115 , 4
328 , 32 , 21540 , 2
329 , 26 , 53837 , 1
330 , 19 , 63094 , 2
331 , 26 , 12718 , 3
332 , 45 , 114400 , 3
333 , 53 , 121817 , 4
334 , 28 , 95499 , 1
335 , 30 , 123963 , 3
336 , 45 , 125694 , 3
337 , 2 , 129701 , 4
338 , 85 , 98212 , 3
339 , 38 , 45111 , 1
340 , 79 , 102190 , 3
341 , 50 , 59658 , 2
342 , 36 , 19335 , 3
343 , 81 , 38191 , 1
344 , 88 , 110443 , 2
345 , 2 , 148694 , 4
346 , 82 , 139073 , 4
347 , 99 , 61193 , 4
348 , 4 , 90635 , 3
349 , 8 , 98435 , 2
350 , 62 , 112394 , 2
351 , 12 , 96189 , 4
352 , 51 , 15236 , 4
353 , 45 , 142932 , 2
354 , 71 , 2167 , 1
355 , 98 , 73546 , 3
356 , 97 , 108000 , 2
